experiment	baseline	method	replicates	pplx_mean	pplx_std	pplx_ci_low	pplx_ci_high	instab_per_100k_mean	instab_per_100k_std	instab_per_100k_ci_low	instab_per_100k_ci_high	ttr_mean	ttr_std	ttr_ci_low	ttr_ci_high	invoke_rate_mean	invoke_rate_std	invoke_rate_ci_low	invoke_rate_ci_high	accept_rate_mean	accept_rate_std	accept_rate_ci_low	accept_rate_ci_high	proxy_gap_mean	proxy_gap_std	proxy_gap_ci_low	proxy_gap_ci_high	wasted_flops_mean	wasted_flops_std	wasted_flops_ci_low	wasted_flops_ci_high
smoke_demo			1	59374.1116	0.0000	59374.1116	59374.1116	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
smoke_demo	none	C	1	59788.7804	0.0000	59788.7804	59788.7804	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
